id,NAME,Atlanta-DeKalb,Buckhead,CBDAtlanta,Chamblee,Decatur,NEAtlanta,NEDeKalb,NFulton,NWAtlanta,NWDeKalb,Roswell,SDeKalb,SEAtlanta,SEDeKalb,SFulton,SWAtlanta,SWDeKalb,SandySprings,Shannon,Tri-Cities
1,NFulton,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Roswell,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,SandySprings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Buckhead,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NWAtlanta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,NEAtlanta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SWAtlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,CBDAtlanta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SEAtlanta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,SFulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Tri-Cities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Shannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,Chamblee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,NWDeKalb,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,NEDeKalb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Atlanta-DeKalb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Decatur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,SWDeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,SEDeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,SDeKalb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
