TOURS AND STOPS,DRIVE TRANSIT,COUNT,CHART
"No Tours, No Stops",No,215,DRIVE TRANSIT ONLY
"No Tours, No Stops",Yes,10,DRIVE TRANSIT ONLY
"1 Tour, No Stops",No,319,DRIVE TRANSIT ONLY
"1 Tour, No Stops",Yes,55,DRIVE TRANSIT ONLY
"1 Tour, 1 Stop",No,209,DRIVE TRANSIT ONLY
"1 Tour, 1 Stop",Yes,25,DRIVE TRANSIT ONLY
"1 Tour, 2 Stops",No,63,DRIVE TRANSIT ONLY
"1 Tour, 2 Stops",Yes,6,DRIVE TRANSIT ONLY
"1 Tour, 3 Stops",No,20,DRIVE TRANSIT ONLY
"1 Tour, 3 Stops",Yes,6,DRIVE TRANSIT ONLY
"1 Tour, 4+ Stops",No,20,DRIVE TRANSIT ONLY
"2 Tours, No Stops",No,4,DRIVE TRANSIT ONLY
"2 Tours, No Stops",Yes,4,DRIVE TRANSIT ONLY
"2 Tours, 1 Stop",No,13,DRIVE TRANSIT ONLY
"2 Tours, 1 Stop",Yes,1,DRIVE TRANSIT ONLY
"2 Tours, 2 Stops",No,13,DRIVE TRANSIT ONLY
"2 Tours, 2 Stops",Yes,1,DRIVE TRANSIT ONLY
"2 Tours, 3 Stops",No,10,DRIVE TRANSIT ONLY
"2 Tours, 4+ Stops",No,5,DRIVE TRANSIT ONLY
"4+ Tours, 4+ Stops",No,1,DRIVE TRANSIT ONLY
