TOURS AND STOPS,HAS SCHOOL,COUNT,CHART
"No Tours, No Stops",No,221,HAS SCHOOL
"No Tours, No Stops",Yes,4,HAS SCHOOL
"1 Tour, No Stops",No,329,HAS SCHOOL
"1 Tour, No Stops",Yes,45,HAS SCHOOL
"1 Tour, 1 Stop",No,220,HAS SCHOOL
"1 Tour, 1 Stop",Yes,14,HAS SCHOOL
"1 Tour, 2 Stops",No,67,HAS SCHOOL
"1 Tour, 2 Stops",Yes,2,HAS SCHOOL
"1 Tour, 3 Stops",No,25,HAS SCHOOL
"1 Tour, 3 Stops",Yes,1,HAS SCHOOL
"1 Tour, 4+ Stops",No,19,HAS SCHOOL
"1 Tour, 4+ Stops",Yes,1,HAS SCHOOL
"2 Tours, No Stops",No,4,HAS SCHOOL
"2 Tours, No Stops",Yes,4,HAS SCHOOL
"2 Tours, 1 Stop",No,11,HAS SCHOOL
"2 Tours, 1 Stop",Yes,3,HAS SCHOOL
"2 Tours, 2 Stops",No,13,HAS SCHOOL
"2 Tours, 2 Stops",Yes,1,HAS SCHOOL
"2 Tours, 3 Stops",No,10,HAS SCHOOL
"2 Tours, 4+ Stops",No,5,HAS SCHOOL
"4+ Tours, 4+ Stops",No,1,HAS SCHOOL
