TOURS AND STOPS,HAS WORK,COUNT,CHART
"No Tours, No Stops",No,131,HAS WORK
"No Tours, No Stops",Yes,94,HAS WORK
"1 Tour, No Stops",No,64,HAS WORK
"1 Tour, No Stops",Yes,310,HAS WORK
"1 Tour, 1 Stop",No,134,HAS WORK
"1 Tour, 1 Stop",Yes,100,HAS WORK
"1 Tour, 2 Stops",No,43,HAS WORK
"1 Tour, 2 Stops",Yes,26,HAS WORK
"1 Tour, 3 Stops",No,12,HAS WORK
"1 Tour, 3 Stops",Yes,14,HAS WORK
"1 Tour, 4+ Stops",No,13,HAS WORK
"1 Tour, 4+ Stops",Yes,7,HAS WORK
"2 Tours, No Stops",No,1,HAS WORK
"2 Tours, No Stops",Yes,7,HAS WORK
"2 Tours, 1 Stop",No,5,HAS WORK
"2 Tours, 1 Stop",Yes,9,HAS WORK
"2 Tours, 2 Stops",No,11,HAS WORK
"2 Tours, 2 Stops",Yes,3,HAS WORK
"2 Tours, 3 Stops",No,7,HAS WORK
"2 Tours, 3 Stops",Yes,3,HAS WORK
"2 Tours, 4+ Stops",No,4,HAS WORK
"2 Tours, 4+ Stops",Yes,1,HAS WORK
"4+ Tours, 4+ Stops",No,1,HAS WORK
