TOURS AND STOPS,HOUSEHOLD VEH,COUNT,CHART
"No Tours, No Stops",0 VEH HH,89,HOUSEHOLD VEHICLES
"No Tours, No Stops",1+ VEH HH,136,HOUSEHOLD VEHICLES
"1 Tour, No Stops",0 VEH HH,103,HOUSEHOLD VEHICLES
"1 Tour, No Stops",1+ VEH HH,271,HOUSEHOLD VEHICLES
"1 Tour, 1 Stop",0 VEH HH,89,HOUSEHOLD VEHICLES
"1 Tour, 1 Stop",1+ VEH HH,145,HOUSEHOLD VEHICLES
"1 Tour, 2 Stops",0 VEH HH,24,HOUSEHOLD VEHICLES
"1 Tour, 2 Stops",1+ VEH HH,45,HOUSEHOLD VEHICLES
"1 Tour, 3 Stops",0 VEH HH,10,HOUSEHOLD VEHICLES
"1 Tour, 3 Stops",1+ VEH HH,16,HOUSEHOLD VEHICLES
"1 Tour, 4+ Stops",0 VEH HH,12,HOUSEHOLD VEHICLES
"1 Tour, 4+ Stops",1+ VEH HH,8,HOUSEHOLD VEHICLES
"2 Tours, No Stops",0 VEH HH,1,HOUSEHOLD VEHICLES
"2 Tours, No Stops",1+ VEH HH,7,HOUSEHOLD VEHICLES
"2 Tours, 1 Stop",0 VEH HH,4,HOUSEHOLD VEHICLES
"2 Tours, 1 Stop",1+ VEH HH,10,HOUSEHOLD VEHICLES
"2 Tours, 2 Stops",0 VEH HH,6,HOUSEHOLD VEHICLES
"2 Tours, 2 Stops",1+ VEH HH,8,HOUSEHOLD VEHICLES
"2 Tours, 3 Stops",0 VEH HH,3,HOUSEHOLD VEHICLES
"2 Tours, 3 Stops",1+ VEH HH,7,HOUSEHOLD VEHICLES
"2 Tours, 4+ Stops",1+ VEH HH,5,HOUSEHOLD VEHICLES
"4+ Tours, 4+ Stops",1+ VEH HH,1,HOUSEHOLD VEHICLES
