DISTRICT,ODTYPE,QUANTITY,CHART_TYPE
Atlanta-DeKalb,ORIGIN,26,TRIP ORIGIN OR DESTINATION
Atlanta-DeKalb,DESTINATION,26,TRIP ORIGIN OR DESTINATION
Buckhead,ORIGIN,169,TRIP ORIGIN OR DESTINATION
Buckhead,DESTINATION,183,TRIP ORIGIN OR DESTINATION
CBDAtlanta,ORIGIN,285,TRIP ORIGIN OR DESTINATION
CBDAtlanta,DESTINATION,334,TRIP ORIGIN OR DESTINATION
Chamblee,ORIGIN,126,TRIP ORIGIN OR DESTINATION
Chamblee,DESTINATION,134,TRIP ORIGIN OR DESTINATION
Decatur,ORIGIN,36,TRIP ORIGIN OR DESTINATION
Decatur,DESTINATION,36,TRIP ORIGIN OR DESTINATION
NEAtlanta,ORIGIN,319,TRIP ORIGIN OR DESTINATION
NEAtlanta,DESTINATION,322,TRIP ORIGIN OR DESTINATION
NEDeKalb,ORIGIN,87,TRIP ORIGIN OR DESTINATION
NEDeKalb,DESTINATION,84,TRIP ORIGIN OR DESTINATION
NFulton,ORIGIN,46,TRIP ORIGIN OR DESTINATION
NFulton,DESTINATION,46,TRIP ORIGIN OR DESTINATION
NWAtlanta,ORIGIN,163,TRIP ORIGIN OR DESTINATION
NWAtlanta,DESTINATION,159,TRIP ORIGIN OR DESTINATION
NWDeKalb,ORIGIN,98,TRIP ORIGIN OR DESTINATION
NWDeKalb,DESTINATION,100,TRIP ORIGIN OR DESTINATION
Roswell,ORIGIN,22,TRIP ORIGIN OR DESTINATION
Roswell,DESTINATION,19,TRIP ORIGIN OR DESTINATION
SDeKalb,ORIGIN,32,TRIP ORIGIN OR DESTINATION
SDeKalb,DESTINATION,27,TRIP ORIGIN OR DESTINATION
SEAtlanta,ORIGIN,100,TRIP ORIGIN OR DESTINATION
SEAtlanta,DESTINATION,82,TRIP ORIGIN OR DESTINATION
SEDeKalb,ORIGIN,67,TRIP ORIGIN OR DESTINATION
SEDeKalb,DESTINATION,53,TRIP ORIGIN OR DESTINATION
SFulton,ORIGIN,14,TRIP ORIGIN OR DESTINATION
SFulton,DESTINATION,13,TRIP ORIGIN OR DESTINATION
SWAtlanta,ORIGIN,197,TRIP ORIGIN OR DESTINATION
SWAtlanta,DESTINATION,200,TRIP ORIGIN OR DESTINATION
SWDeKalb,ORIGIN,131,TRIP ORIGIN OR DESTINATION
SWDeKalb,DESTINATION,127,TRIP ORIGIN OR DESTINATION
SandySprings,ORIGIN,127,TRIP ORIGIN OR DESTINATION
SandySprings,DESTINATION,123,TRIP ORIGIN OR DESTINATION
Shannon,ORIGIN,35,TRIP ORIGIN OR DESTINATION
Shannon,DESTINATION,35,TRIP ORIGIN OR DESTINATION
Tri-Cities,ORIGIN,125,TRIP ORIGIN OR DESTINATION
Tri-Cities,DESTINATION,130,TRIP ORIGIN OR DESTINATION
